Description,Down-regulated SIV.Early ART During ART,Down-regulated SIV.Early ART Early ATI,Down-regulated SIV.Late ART Early ATI,Up-regulated SIV.Early ART During ART,Up-regulated SIV.Early ART Early ATI,Up-regulated SIV.Late ART Early ATI
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,0,0,0,0,0,1
KEGG_VIRAL_MYOCARDITIS,1,0,0,0,0,0
NABA_BASEMENT_MEMBRANES,1,1,1,0,0,0
NABA_COLLAGENS,1,1,1,0,0,0
NABA_CORE_MATRISOME,1,1,1,0,0,0
NABA_ECM_GLYCOPROTEINS,1,1,1,0,0,0
NABA_ECM_REGULATORS,1,0,0,0,0,0
NABA_PROTEOGLYCANS,0,1,0,0,0,0
PID_AJDISS_2PATHWAY,0,0,0,0,1,1
PID_AMB2_NEUTROPHILS_PATHWAY,1,1,0,0,0,0
PID_ARF_3PATHWAY,0,0,0,1,1,1
PID_AURORA_A_PATHWAY,0,0,0,1,0,0
PID_AVB3_INTEGRIN_PATHWAY,1,1,1,0,0,0
PID_AVB3_OPN_PATHWAY,1,0,0,0,0,0
PID_CASPASE_PATHWAY,0,1,0,0,0,0
PID_CDC42_PATHWAY,0,0,0,1,1,1
PID_CERAMIDE_PATHWAY,0,0,0,0,1,1
PID_E2F_PATHWAY,0,0,0,1,1,1
PID_ECADHERIN_NASCENT_AJ_PATHWAY,0,0,0,0,1,1
PID_ECADHERIN_STABILIZATION_PATHWAY,0,0,0,0,0,1
PID_EPHA2_FWD_PATHWAY,0,0,0,1,1,0
PID_ERBB1_DOWNSTREAM_PATHWAY,0,0,0,1,1,1
PID_FAK_PATHWAY,1,1,1,0,0,0
PID_FOXO_PATHWAY,0,0,0,1,1,1
PID_FRA_PATHWAY,1,1,0,0,0,0
PID_HDAC_CLASSII_PATHWAY,0,0,0,0,0,1
PID_HDAC_CLASSI_PATHWAY,0,0,0,1,1,1
PID_IGF1_PATHWAY,0,0,0,1,0,0
PID_ILK_PATHWAY,1,1,1,0,0,0
PID_INTEGRIN1_PATHWAY,1,1,1,0,0,0
PID_INTEGRIN2_PATHWAY,1,1,0,0,0,0
PID_INTEGRIN3_PATHWAY,1,1,1,0,0,0
PID_INTEGRIN_A4B1_PATHWAY,1,1,1,0,0,0
PID_INTEGRIN_CS_PATHWAY,0,0,1,0,0,0
