,Down-regulated SIV.Early ART During ART,Down-regulated SIV.Early ART Early ATI,Down-regulated SIV.Late ART Early ATI,Up-regulated SIV.Early ART During ART,Up-regulated SIV.Early ART Early ATI,Up-regulated SIV.Late ART Early ATI
Down-regulated SIV.Early ART During ART,0.0,0.10907749978627101,0.28397602999877103,0.9864852288112274,0.979297240495887,0.9767852319400426
Down-regulated SIV.Early ART Early ATI,0.10907749978627101,-2.220446049250313e-16,0.23222912932506534,0.9361052743310176,0.9334166116494879,0.9780351934686925
Down-regulated SIV.Late ART Early ATI,0.28397602999877103,0.23222912932506534,-2.220446049250313e-16,0.6500626020646255,0.7877545532775997,0.9511125699629176
Up-regulated SIV.Early ART During ART,0.9864852288112274,0.9361052743310176,0.6500626020646255,-4.440892098500626e-16,0.06467178918192329,0.22599238554694223
Up-regulated SIV.Early ART Early ATI,0.979297240495887,0.9334166116494879,0.7877545532775997,0.06467178918192329,2.220446049250313e-16,0.10686387603208058
Up-regulated SIV.Late ART Early ATI,0.9767852319400426,0.9780351934686925,0.9511125699629176,0.22599238554694223,0.10686387603208058,2.220446049250313e-16
