,Down-regulated SIV.Early ART During ART,Down-regulated SIV.Early ART Early ATI,Down-regulated SIV.Late ART Early ATI,Up-regulated SIV.Early ART During ART,Up-regulated SIV.Early ART Early ATI,Up-regulated SIV.Late ART Early ATI
Down-regulated SIV.Early ART During ART,0.0,0.30649544019252906,0.3527244675490604,0.9595414689712465,0.9431353946106272,0.9421261146421174
Down-regulated SIV.Early ART Early ATI,0.30649544019252906,0.0,0.2591965614169258,0.9361389356578698,0.9378605751826808,0.9412749824090965
Down-regulated SIV.Late ART Early ATI,0.3527244675490604,0.2591965614169258,-6.661338147750939e-16,0.8448016568994975,0.8535618629091486,0.9161665513416901
Up-regulated SIV.Early ART During ART,0.9595414689712465,0.9361389356578698,0.8448016568994975,-1.5543122344752192e-15,0.18002174917912073,0.2461395153221344
Up-regulated SIV.Early ART Early ATI,0.9431353946106272,0.9378605751826808,0.8535618629091486,0.18002174917912073,1.1102230246251565e-15,0.19879347765489852
Up-regulated SIV.Late ART Early ATI,0.9421261146421174,0.9412749824090965,0.9161665513416901,0.2461395153221344,0.19879347765489852,0.0
